chq,faq,value
What was causing her prolonged pyrexia?  Laboratory work normal.  Watched her (sat on it) for five months.  Then noted neck mass.,What was causing her prolonged pyrexia?  Watched her (sat on it) for 5 months.,1
Consult from a family physician.  17-day-old girl with fever of 102.  Blood culture showed alpha streptococcus.  One question was whether this was most likely a pathogen or a contaminant.,At what ages should you do a Denver Developmental Screening Test?,0
Surgeons are reluctant to search for foreign bodies unless they see something on x-ray. Is this standard of care for family doctors to go digging around in people's feet searching for foreign bodies? I do this about twice a year.,Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?,0
Two-week old. Do you stop breast feeding for mastitis?,Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?,0
What is a Hepatolite scan (questionably the same as a PAPIDA scan)?,How do you use Redux? What are the indications?,0
"Two-year-old girl going on a trip to Brazil with her mother. Mother said, ""Does she really need the hepatitis A vaccine?"" The question for me was, how important is it really.",Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?,0
Is one shot of Rocephin adequate treatment for otitis media?,Let's give these immunizations. That's right isn't it?,0
This patient complains that normal sounds sound too loud. What should I do about that?,Patient complains that normal sounds sound too loud. What should I do about that?,1
"A man had a tumor on his tongue. I did not know what it was so I referred him to an otolaryngologist. The question was ""What is this tumor on the tongue?""",What is this tumor on his tongue?,1
The question is what antibiotics do you give for diverticulitis.  I used to give Keflex and Flagyl.  I think now you give Cipro and Flagyl.  I always have to look it up.,What antibiotics do you give for diverticulitis? I always have to look it up.,1
What does it mean to say something is growing or declining at an exponential rate? (Medical student's learning issue: there is an exponential decline in lung function of 2 - 3% per year.),Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
I was recently on the Hospital X service and had 4 admissions in 14 days. They all came on the same day. What is the probability of that?,How should I treat polymenorrhea in a 14-year-old girl?,0
"84-year-old female. Would you treat a pure culture of 40,000 Escherichia coli with a negative urinalysis?",What are the causes of tinnitus?,0
Is there any treatment for vasomotor rhinitis?,Is there any treatment for vasomotor rhinitis?,1
What are guidelines for care of asthma in children?,What are guidelines for care of asthma in children?,1
What are and how common are the risks from first trimester bleeding if the patient goes on to complete the pregnancy?,What are and how common are the risks from first trimester bleeding if the patient completes the pregnancy?,1
What is the formula to calculate the relationship between pH and pCO2?,Let's give these immunizations. That's right isn't it?,0
What medication (and dose) do you need for a Factor IX deficiency?,What medication do you need for a Factor IX deficiency?,1
What are the causes of metabolic acidosis in newborns?,What are the causes of metabolic acidosis in newborns?,1
"""Von Willebrand's is autosomal dominant but what is the penetrance?""",Let's give these immunizations. That's right isn't it?,0
"What is the differential diagnosis of someone with hypoxia, not dyspneic, normal chest x-ray, status post fractured hip, pH normal, pCO2 normal, PO2 56, nonsmoker?",What is the differential diagnosis of someone with hypoxia after a fractured hip?,1
"40-year-old man with diabetes. He said, ""I'm feeling dizzy and have a headache. Do you think it could be my medicine?"" But it wasn't his medication. My (physician's) question was, ""What is causing the dizziness?""",What is the significance of an antinuclear antibody (ANA) of 1:40?,0
He has shown no improvement with three weeks of therapy for Bell's palsy -- still complete facial paralysis on the left side.  When does he need more intervention?  Dr. X usually sees improvement by now.,How should I treat polymenorrhea in a 14-year-old girl?,0
What is the return on lumbosacral spine films for a patient with sciatica?,What is the return on lumbosacral spine films for a patient with sciatica?,1
"Patient has a small cervical os, next time I do a Papanicolaou smear, would it be best to use estrogen cream prior to the procedure? (Patient is currently on hormone replacement therapy, estrogen and progesterone.)",At what ages should you do a Denver Developmental Screening Test?,0
A patient has neonatal testicular torsion. How much damage is there to the other testicle?,How much damage is there to the testicle?,1
"83-year-old woman with chronic edema in her legs.  She scraped it and got cellulitis.  Now do I keep her on antibiotics until every bit of redness is gone, or can I stop now assuming the redness is consistent with resolving cellulitis?",Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
Patient has stomatitis (canker sores on roof of mouth)  Will treat with Zovirax.  The question is whether there is data to support this treatment.,Let's give these immunizations.  That's right isn't it?,0
"If a patient delivers past term with one pregnancy, is she more likely to deliver past term with subsequent pregnancies?","If a patient delivers past term, is she more likely to deliver past term with subsequent pregnancies?",1
What congenital syndrome would cause decreased hip mobility and a wide-based gait?,"What is that new drug like Prilosec - it has ""acid"" at the end of the name.",0
This is a 33-year-old woman with daily tension headaches for several months. The question is what treatment to try next.,Patient with hypertension and abdominal bruit. Should I order an intravenous pyelogram?,0
What laboratory work do I need for an infertility workup?  Patient is anovulatory.,What labs do I need for an infertility workup?  Patient is anovulatory.,1
What did that recent New England Journal of Medicine article say about what types of fat are good for preventing coronary disease?,Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum),0
What dose of granulocyte colony stimulating factor (GCSF) does this patient need?,What dose of granulocyte colony stimulating factor does this patient need?,1
"Should you treat a 37-year-old with a positive PPD (purified protein derivative), negative chest x-ray, no history of previous PPD?","Should you treat a 37-year-old with a positive PPD (purified protein derivative), negative chest x-ray, no history of previous skin test?",1
